#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50 220  3.5  4.3  1.19  7.14  6.32 130 1023.8  24.7  25.5 999.0 99.0 99.00
2014 01 01 00 50 217  2.9  3.5  1.17  7.14  6.53 144 1024.0  24.6  25.5 999.0 99.0 99.00
2014 01 01 01 50 228  2.4  3.1  1.14  9.09  6.37 105 1024.5  24.7  25.5 999.0 99.0 99.00
2014 01 01 02 50 222  3.2  3.9  1.18  7.14  6.55 126 1024.3  24.8  25.5 999.0 99.0 99.00
2014 01 01 03 50 240  2.7  3.4  1.14  8.33  6.65 130 1024.0  24.7  25.5 999.0 99.0 99.00
2014 01 01 04 50 225  3.0  3.7  1.12  7.69  6.53 137 1023.6  24.6  25.6 999.0 99.0 99.00
2014 01 01 05 50 249  3.6  4.3  1.18  9.09  6.48 122 1023.2  24.7  25.6 999.0 99.0 99.00
2014 01 01 06 50 251  3.2  3.9  1.21  9.09  6.47 111 1022.8  24.6  25.6 999.0 99.0 99.00
2014 01 01 07 50 257  3.2  4.1  1.18  8.33  6.35 130 1022.7  24.5  25.7 999.0 99.0 99.00
2014 01 01 08 50 242  2.9  4.1  1.22  9.09  6.50 126 1022.6  24.5  25.7 999.0 99.0 99.00
2014 01 01 09 50 261  3.2  4.0  1.26  9.09  6.46  83 1022.7  24.5  25.6 999.0 99.0 99.00
2014 01 01 10 50 267  2.8  3.5  1.20  9.09  6.30 111 1023.0  24.5  25.6 999.0 99.0 99.00
2014 01 01 11 50 283  2.7  3.4  1.22  8.33  6.50 136 1023.7  24.6  25.6 999.0 99.0 99.00
2014 01 01 12 50 264  2.2  3.2  1.17  8.33  6.47 129 1024.1  24.7  25.7 999.0 99.0 99.00
2014 01 01 13 50 259  2.2  3.0  1.21  9.09  6.65 134 1024.7  24.7  25.8 999.0 99.0 99.00
2014 01 01 14 50 283  2.5  3.6  1.20  8.33  6.69 129 1024.7  24.8  25.9 999.0 99.0 99.00
2014 01 01 15 50 359  7.7  9.0  1.17  8.33  6.39 148 1023.9  23.4  25.8 999.0 99.0 99.00
2014 01 01 16 50  15  8.2  9.6  1.26  8.33  5.55 149 1023.3  23.2  25.7 999.0 99.0 99.00
2014 01 01 17 50   8  7.2  8.7  1.29  9.09  4.95 122 1023.0  23.1  25.7 999.0 99.0 99.00
2014 01 01 18 50  28  6.2  7.1  1.39  8.33  5.35 311 1022.8  23.2  25.7 999.0 99.0 99.00
2014 01 01 19 50  38  5.2  6.2  1.36  8.33  5.56 202 1022.8  23.6  25.7 999.0 99.0 99.00
2014 01 01 20 50  56  5.1  6.9  1.37  9.09  5.80 109 1022.9  23.7  25.7 999.0 99.0 99.00
2014 01 01 21 50  56  5.8  7.1  1.34  7.69  5.77 145 1023.2  23.7  25.7 999.0 99.0 99.00
2014 01 01 22 50  44  5.9  7.4  1.36  8.33  5.72  91 1023.8  23.7  25.7 999.0 99.0 99.00
2014 01 01 23 50  39  7.9  9.6  1.34  8.33  5.51 103 1024.1  23.7  25.6 999.0 99.0 99.00
2014 01 02 00 50  59  7.0  8.4  1.47  8.33  5.61 121 1024.0  23.7  25.5 999.0 99.0 99.00
2014 01 02 01 50  57  7.4  9.0  1.46  7.69  5.41 135 1023.8  23.8  25.4 999.0 99.0 99.00
2014 01 02 02 50  62  7.6  8.9  1.46  7.69  5.22 117 1023.7  23.8  25.4 999.0 99.0 99.00
2014 01 02 03 50  62  7.9  9.7  1.58  7.14  5.42 215 1023.2  24.0  25.3 999.0 99.0 99.00
2014 01 02 04 50  75  8.1  9.9  1.61  7.69  5.50 125 1022.9  23.7  25.2 999.0 99.0 99.00
2014 01 02 05 50  98  8.5  9.7  1.78  8.33  5.76 113 1022.5  23.1  25.2 999.0 99.0 99.00
2014 01 02 06 50  86  6.6  7.7  1.80  8.33  5.78  78 1022.4  23.8  25.1 999.0 99.0 99.00
2014 01 02 07 50  90  5.1  6.5  1.91 19.05  5.95  30 1022.5  23.8  25.1 999.0 99.0 99.00
2014 01 02 08 50 100  5.5  7.0  1.96  8.33  6.30 326 1022.2  23.6  25.1 999.0 99.0 99.00
2014 01 02 09 50  93  6.1  7.2  1.92  8.33  6.39 347 1022.4  23.7  25.1 999.0 99.0 99.00
2014 01 02 10 50  91  7.1  8.4  2.07  9.09  6.30 324 1022.6  24.0  25.0 999.0 99.0 99.00
2014 01 02 11 50  94  7.7  9.4  1.98  9.09  6.24 331 1023.0  23.9  25.0 999.0 99.0 99.00
2014 01 02 12 50  92  7.8  9.1  1.94  8.33  6.06  88 1023.4  23.5  25.0 999.0 99.0 99.00
2014 01 02 13 50  93  8.0  9.7  2.04  9.09  6.14 358 1023.7  23.5  25.0 999.0 99.0 99.00
2014 01 02 14 50  90  8.0  9.6  2.30  8.33  6.65 321 1023.4  23.5  24.9 999.0 99.0 99.00
2014 01 02 15 50  91  7.1  8.3  2.20 10.81  6.83 357 1022.7  23.2  24.8 999.0 99.0 99.00
2014 01 02 16 50  92  6.0  7.3  2.31 10.00  7.03 346 1021.6  22.8  24.7 999.0 99.0 99.00
2014 01 02 17 50 103  4.4  5.9  2.24 10.00  7.09 340 1020.6  23.0  24.7 999.0 99.0 99.00
2014 01 02 18 50 148  5.7  6.9  2.02 10.00  6.93 346 1019.9  23.8  24.7 999.0 99.0 99.00
2014 01 02 19 50 152  6.0  7.5  2.00 10.00  7.13 351 1019.5  24.1  24.7 999.0 99.0 99.00
2014 01 02 20 50 149  5.8  7.0  1.96 10.00  7.15 352 1019.6  24.1  24.8 999.0 99.0 99.00
2014 01 02 21 50 149  5.1  6.4  2.05  9.09  7.20 344 1019.9  24.1  24.8 999.0 99.0 99.00
2014 01 02 22 50 147  6.1  7.7  1.87 10.81  6.91   7 1020.0  23.9  24.9 999.0 99.0 99.00
2014 01 02 23 50 161  6.5  7.8  1.90 10.00  7.00 353 1020.3  24.1  24.9 999.0 99.0 99.00
2014 01 03 00 50 151  6.5  7.9  2.07  9.09  7.05   5 1020.5  24.1  25.0 999.0 99.0 99.00
2014 01 03 01 50 165  6.3  7.6  1.98  8.33  6.84 330 1020.5  24.1  25.0 999.0 99.0 99.00
2014 01 03 02 50 157  6.5  8.1  1.95  9.09  6.82  13 1020.4  24.1  25.0 999.0 99.0 99.00
2014 01 03 03 50 159  7.0  8.5  1.93 10.00  6.84   4 1019.9  24.1  24.9 999.0 99.0 99.00
2014 01 03 04 50 161  7.2  8.4  1.93  8.33  6.55  53 1019.5  24.1  24.9 999.0 99.0 99.00
2014 01 03 05 50 166  7.4  8.8  1.75 14.81  6.27  24 1019.3  24.1  24.7 999.0 99.0 99.00
2014 01 03 06 50 169  8.2 10.0  1.91  9.09  6.12  52 1019.0  24.0  24.7 999.0 99.0 99.00
2014 01 03 07 50 187  7.6  9.0  1.92  8.33  6.20 137 1018.6  24.1  24.7 999.0 99.0 99.00
2014 01 03 08 50 202  6.8  8.3  1.84  9.09  6.01 132 1018.5  24.2  24.7 999.0 99.0 99.00
2014 01 03 09 50 184  7.0  8.3  1.79  7.69  5.87 126 1018.6  24.3  24.8 999.0 99.0 99.00
2014 01 03 10 50 173  7.2  8.6  1.93 16.00  6.32  21 1018.7  24.4  24.8 999.0 99.0 99.00
2014 01 03 11 50 173  8.7 11.3  1.88 10.00  6.02 338 1018.7  24.5  24.8 999.0 99.0 99.00
2014 01 03 12 50 177  9.0 10.5  1.84 16.00  5.88  23 1018.9  24.8  24.8 999.0 99.0 99.00
2014 01 03 13 50 175  8.7 10.0  1.84 16.00  5.83  96 1019.1  24.9  24.9 999.0 99.0 99.00
2014 01 03 14 50 181  8.9 10.8  1.88  7.69  5.75 135 1019.1  25.0  25.0 999.0 99.0 99.00
2014 01 03 15 50 183  9.7 11.4  1.65  9.09  5.30 111 1018.1  24.9  25.1 999.0 99.0 99.00
2014 01 03 16 50 195  9.8 11.6  1.80 14.81  5.48  21 1017.2  25.0  25.0 999.0 99.0 99.00
2014 01 03 17 50 226 11.5 14.8  1.81  9.09  5.49 165 1016.8  23.8  25.0 999.0 99.0 99.00
2014 01 03 18 50 217  8.7 10.8  1.87  5.88  5.38 190 1017.0  24.8  24.9 999.0 99.0 99.00
2014 01 03 19 50 222  8.0 10.7  1.96  5.26  5.40 209 1017.2  25.1  25.0 999.0 99.0 99.00
2014 01 03 20 50 207  7.6  8.8  1.96  5.88  5.72 183 1017.5  25.0  25.1 999.0 99.0 99.00
2014 01 03 21 50 215  7.5  9.5  1.99  5.88  5.62 186 1018.3  25.0  25.1 999.0 99.0 99.00
2014 01 03 22 50 227  8.2 10.0  1.93  5.88  5.61 204 1019.0  25.3  25.1 999.0 99.0 99.00
2014 01 03 23 50 228  8.4 10.1  1.79  8.33  5.39 152 1019.7  25.4  25.1 999.0 99.0 99.00
2014 01 04 00 50 237  8.2 10.2  1.80  8.33  5.71 124 1020.2  25.2  25.1 999.0 99.0 99.00
2014 01 04 01 50 243  6.5  8.1  1.75  6.25  5.65 175 1020.8  25.3  25.2 999.0 99.0 99.00
2014 01 04 02 50 241  6.4  8.0  1.74  7.69  5.56 141 1020.7  25.4  25.2 999.0 99.0 99.00
2014 01 04 03 50 257  7.6  9.5  1.60  8.33  5.69 137 1020.6  25.0  25.1 999.0 99.0 99.00
2014 01 04 04 50 311  8.0  9.6  1.70  8.33  5.70 137 1020.9  22.7  25.1 999.0 99.0 99.00
2014 01 04 05 50 343  6.0  7.4  1.63  6.25  5.46 197 1021.3  22.2  25.1 999.0 99.0 99.00
2014 01 04 06 50  17  2.3  3.1  1.65  6.25  5.52 183 1021.5  22.8  25.0 999.0 99.0 99.00
2014 01 04 07 50  94  1.0  2.0  1.57  8.33  5.80 142 1021.5  23.5  25.0 999.0 99.0 99.00
2014 01 04 08 50 197  0.5  1.0  1.44  5.56  5.87 203 1021.7  23.7  25.0 999.0 99.0 99.00
2014 01 04 09 50  72  0.5  1.0  1.56  7.69  6.08 134 1022.1  23.9  24.9 999.0 99.0 99.00
2014 01 04 10 50  24  4.3  8.4  1.40  5.88  5.83 226 1022.7  24.0  24.9 999.0 99.0 99.00
